"Propinsi","Ibukota",
"Sumatra Barat","Padang",
"Riau","Pekanbaru",
"Kepulauan Riau","Tanjung Pinang",
"Jambi","Jambi",
"Sumatra Selatan","Palembang",
"Bengkulu","Bengkulu",
"Lampung","Bandar Lampung",
"Bangka Belitung","Pangkal Pinang",
"DKI Jakarta","Jakarta",
"Jawa Barat","Bandung",
"Banten","Serang",
"Jawa Tengah","Semarang",
"Daerah Istimewa Yogyakarta (DIY)","Yogyakarta",
"Jawa Timur","Surabaya",
"Bali","Denpasar",
"Nusa Tenggara Barat","Mataram",
"Nusa Tenggara Timur","Kupang",
"Kalimantan Barat","Pontianak",
"Kalimantan Tengah","Palangkaraya",
"Kalimantan Selatan","Banjarmasin",
"Kalimantan Timur","Samarinda",
"Kalimantan Utara","Tanjung Selor",
"Sulawesi Utara","Manado",
"Gorontalo","Gorontalo",
"Sulawesi Tengah","Palu",
"Sulawesi Selatan","Makassar",
"Sulawesi Barat","Mamuju",
"Sulawesi Tenggara","Kendari",
"Maluku","Ambon",
"Maluku utara","Ternate",
"Papua","Jayapura",
"Papua Barat","Manukwari",
"Nanggroe Aceh Darussalam","Banda Aceh",
"Sumatra Utara","Medan",
