"KodeSatuan","NamaSatuan","Inisial",
"01","KILOGRAM","KG",
"02","LITER","LTR",
"03","BUAH","BH",
"04","METER","MTR",
"05","RIM","RIM",
"06","LEMBAR","LBR",
"07","ZAK","ZAK",
"08","BUKU","BUKU",
"09","UNIT","UNIT",
"10","CYLINDER","CYL",
"11","INT","INT",
"12","KALENG","KLG",
"13","M3","M3",
"14","SET","SET",
"15","ROLL","ROLL",
"16","LENTE","LNT",
"17","LUSIN","LSN",
"18","PASANG","PSN",
"19","BOTOL","BTL",
"20","CC","CC",
"21","BATANG","BTG",
"22","CAN","CAN",
"23","GALON","GLN",
"24","STUK","STK",
"25","DUS","DUS",
"26","TABUNG","TAB",
"27","TUBE","TUBE",
"28","BOX","BOX",
"29","PAK","PAK",
"30","PAIL","PAIL",
"31","PCS","PCS",
"32","DRUM","DRUM",
"33","GROS","GROS",
"34","POHON","PHN",
"35","PARTY","PARTY",
"36","KWH","KWH",
"37","Hektare","Ha",
"38","Gram","gr",
"39","Mililiter","mL",
"40","KILOMETER","KM",
