"KodeKebun","NamaKebun","Status",
"00","KANTOR PUSAT","False",
"10","PASIRMALANG","False",
"11","KERTAMANAH","False",
"12","MALABAR","False",
"13","PURBASARI","False",
"14","TALUNSANTOSA","False",
"15","SEDEP","False",
"16","PAPANDAYAN","False",
"17","CISARUNI","False",
"18","DAYEUHMANGGUNG","False",
"19","MIRAMARE","False",
"20","BAGJANAGARA","False",
"21","BATULAWANG","False",
"22","BUNISARI/LENDRA","False",
"23","CIATER","False",
"24","TAMBAKSARI","False",
"25","WANGUNREJA","False",
"28","CIKUPA","False",
"29","INDUSTRI HILIR TEH","False",
"31","ANEKA USAHA","False",
"32","AGROWISATA","False",
"33","BUKITUNGGUL","False",
"34","SINUMBRA","False",
"35","RANCABALI","False",
"36","RANCABOLANG","False",
"37","PANGLEJAR","False",
"39","MONTAYA","False",
"40","PASIRNANGKA","False",
"41","PANYAIRAN","False",
"42","GOALPARA","False",
"43","GEDEH","False",
"44","GUNUNGMAS","False",
"45","CIANTEN","False",
"46","JALUPANG","False",
"47","CIKUMPAY","False",
"49","AGRABINTA","False",
"50","CIKASO","False",
"55","PETERNAKAN","False",
"62","BOJONGDATAR","False",
"64","CISALAKBARU","False",
"65","CIKASUNGKA","False",
"68","PARAKANSALAK","False",
"69","SUKAMAJU","False",
"71","CIBUNGUR","True",
"72","PASIRBADAK","False",
"74","KERTAJAYA","False",
"81","KANTOR WILAYAH II","False",
"82","KANTOR WILAYAH III","False",
"90","KANTOR WILAYAH I","False",
"91","KANTOR WILAYAH IV","False",
